ID;Fecha;PrecioPromedio
1;24/11/2023;1.57
2;23/11/2023;1.57
3;22/11/2023;1.57
4;21/11/2023;1.57
5;20/11/2023;1.57
6;18/11/2023;1.58
7;17/11/2023;1.58
8;16/11/2023;1.58
9;15/11/2023;1.58
10;14/11/2023;1.59
11;13/11/2023;1.59
12;11/11/2023;1.6
13;10/11/2023;1.6
14;9/11/2023;1.59
15;8/11/2023;1.6
16;7/11/2023;1.6
17;6/11/2023;1.6
18;4/11/2023;1.61
19;3/11/2023;1.61
20;2/11/2023;1.61
21;1/11/2023;1.62
22;31/10/2023;1.62
23;30/10/2023;1.62
24;28/10/2023;1.62
25;27/10/2023;1.62
26;26/10/2023;1.62
27;25/10/2023;1.62
28;24/10/2023;1.62
29;23/10/2023;1.62
30;21/10/2023;1.62
31;20/10/2023;1.63
32;19/10/2023;1.64
33;18/10/2023;1.64
34;17/10/2023;1.63
35;16/10/2023;1.63
36;14/10/2023;1.63
37;13/10/2023;1.64
38;12/10/2023;1.63
39;11/10/2023;1.63
40;10/10/2023;1.63
41;9/10/2023;1.62
42;7/10/2023;1.61
43;6/10/2023;1.6
44;5/10/2023;1.59
45;4/10/2023;1.61
46;3/10/2023;1.6
47;2/10/2023;1.58
48;30/09/2023;1.58
49;29/09/2023;1.51
50;28/09/2023;1.5
51;27/09/2023;1.5
52;26/09/2023;1.47
53;25/09/2023;1.47
54;23/09/2023;1.47
55;22/09/2023;1.47
56;21/09/2023;1.48
57;20/09/2023;1.47
58;19/09/2023;1.48
59;18/09/2023;1.48
60;16/09/2023;1.48
61;15/09/2023;1.48
62;14/09/2023;1.47
63;13/09/2023;1.48
64;12/09/2023;1.48
65;11/09/2023;1.48
66;9/09/2023;1.48
67;8/09/2023;1.48
68;7/09/2023;1.47
69;6/09/2023;1.48
70;5/09/2023;1.48
71;4/09/2023;1.48
72;2/09/2023;1.48
73;1/09/2023;1.48
74;31/08/2023;1.48
75;30/08/2023;1.48
76;29/08/2023;1.48
77;28/08/2023;1.47
78;26/08/2023;1.48
79;25/08/2023;1.48
80;24/08/2023;1.48
81;23/08/2023;1.48
82;22/08/2023;1.48
83;21/08/2023;1.47
84;19/08/2023;1.48
85;18/08/2023;1.48
86;17/08/2023;1.47
87;16/08/2023;1.48
88;15/08/2023;1.48
89;14/08/2023;1.48
90;12/08/2023;1.49
91;11/08/2023;1.48
92;10/08/2023;1.49
93;9/08/2023;1.49
94;8/08/2023;1.48
95;7/08/2023;1.48
96;5/08/2023;1.49
97;4/08/2023;1.49
98;3/08/2023;1.49
99;2/08/2023;1.49
100;1/08/2023;1.49
101;31/07/2023;1.49
102;29/07/2023;1.49
103;28/07/2023;1.5
104;27/07/2023;1.49
105;26/07/2023;1.49
106;25/07/2023;1.49
107;24/07/2023;1.5
108;22/07/2023;1.5
109;21/07/2023;1.5
110;20/07/2023;1.5
111;19/07/2023;1.5
112;18/07/2023;1.5
113;17/07/2023;1.5
114;15/07/2023;1.49
115;14/07/2023;1.5
116;13/07/2023;1.5
117;12/07/2023;1.5
118;11/07/2023;1.5
119;10/07/2023;1.5
120;8/07/2023;1.5
121;7/07/2023;1.51
122;6/07/2023;1.51
123;5/07/2023;1.51
124;4/07/2023;1.51
125;3/07/2023;1.53
126;1/07/2023;1.53
127;30/06/2023;1.53
128;29/06/2023;1.53
129;28/06/2023;1.53
130;27/06/2023;1.53
131;26/06/2023;1.54
132;24/06/2023;1.54
133;23/06/2023;1.55
134;22/06/2023;1.54
135;21/06/2023;1.54
136;20/06/2023;1.54
137;19/06/2023;1.56
138;17/06/2023;1.56
139;16/06/2023;1.57
140;15/06/2023;1.58
141;14/06/2023;1.59
142;13/06/2023;1.6
143;12/06/2023;1.59
144;10/06/2023;1.59
145;9/06/2023;1.6
146;8/06/2023;1.6
147;7/06/2023;1.6
148;6/06/2023;1.6
149;5/06/2023;1.59
150;3/06/2023;1.59
151;2/06/2023;1.6
152;1/06/2023;1.61
153;31/05/2023;1.6
154;30/05/2023;1.6
155;29/05/2023;1.6
156;27/05/2023;1.6
157;26/05/2023;1.61
158;25/05/2023;1.61
159;24/05/2023;1.61
160;23/05/2023;1.6
161;22/05/2023;1.61
162;20/05/2023;1.61
163;19/05/2023;1.61
164;18/05/2023;1.61
165;17/05/2023;1.61
166;16/05/2023;1.61
167;15/05/2023;1.61
168;13/05/2023;1.61
169;12/05/2023;1.61
170;11/05/2023;1.61
171;10/05/2023;1.61
172;9/05/2023;1.6
173;8/05/2023;1.61
174;6/05/2023;1.61
175;5/05/2023;1.61
176;4/05/2023;1.61
177;3/05/2023;1.62
178;2/05/2023;1.63
179;1/05/2023;1.63
180;29/04/2023;1.63
181;28/04/2023;1.63
182;27/04/2023;1.63
183;26/04/2023;1.63
184;25/04/2023;1.63
185;24/04/2023;1.63
186;22/04/2023;1.63
187;21/04/2023;1.63
188;20/04/2023;1.63
189;19/04/2023;1.63
190;18/04/2023;1.63
191;17/04/2023;1.62
192;15/04/2023;1.62
193;14/04/2023;1.62
194;13/04/2023;1.62
195;12/04/2023;1.62
196;11/04/2023;1.62
197;10/04/2023;1.62
198;8/04/2023;1.62
199;7/04/2023;1.62
200;6/04/2023;1.62
201;5/04/2023;1.63
202;4/04/2023;1.62
203;3/04/2023;1.62
204;1/04/2023;1.62
205;31/03/2023;1.63
206;30/03/2023;1.63
207;29/03/2023;1.64
208;28/03/2023;1.63
